Model,Setting,TS,SP-TS,SP-1,SP-U
resnet152,pointpred,200,300,800,1200
seresnet152,pointpred,200,300,800,1200
xception,pointpred,200,300,600,1300
densenet161,pointpred,200,300,800,1200
inceptionresnetv2,pointpred,200,300,800,1400
resnet152,compose,250,300,1100,1000
seresnet152,compose,250,300,1000,300
xception,compose,250,300,600,1300
densenet161,compose,200,300,1000,400
inceptionresnetv2,compose,200,300,800,1300
resnet152,locshift,200,400,1000,1000
seresnet152,locshift,200,300,1000,400
xception,locshift,200,300,800,1100
densenet161,locshift,200,300,1000,300
inceptionresnetv2,locshift,250,300,900,1100
resnet152,convert,200,400,900,1000
seresnet152,convert,200,600,1000,400
xception,convert,250,400,900,1200
densenet161,convert,250,300,1200,1000
inceptionresnetv2,convert,200,300,800,1200
